EXCURSION_ID,SEQ,CAPTION,URL
995824,1,,https://media.thomson.co.uk/asset/lpp/v00/988/903.jpg
995824,2,,https://media.thomson.co.uk/asset/lpp/v00/988/927.jpg
995824,3,,https://media.thomson.co.uk/asset/lpp/v01/021/306.jpg
996093,1,,https://media.thomson.co.uk/asset/lpp/v00/982/541.jpg
996093,2,,https://media.thomson.co.uk/asset/lpp/v00/982/545.jpg
996093,3,,https://media.thomson.co.uk/asset/lpp/v00/982/537.jpg
996093,4,,https://media.thomson.co.uk/asset/lpp/v01/026/564.jpg
982462,1,Image shown for illustrative purposes only,https://media.thomson.co.uk/asset/lpp/v01/157/498.jpg
988162,1,St Johns Antigua,https://media.thomson.co.uk/asset/lpp/v01/097/546.jpg
988162,2,St Johns Antigua,https://media.thomson.co.uk/asset/lpp/v01/097/548.jpg
972461,1,,https://media.thomson.co.uk/asset/lpp/v01/070/490.jpg
972462,1,,https://media.thomson.co.uk/asset/lpp/v00/795/841.jpg
972463,1,,https://media.thomson.co.uk/asset/lpp/v01/027/348.jpg
972464,1,,https://media.thomson.co.uk/asset/lpp/v00/893/098.jpg
996346,1,,https://media.thomson.co.uk/asset/lpp/v01/018/349.jpg
996346,2,Snorkelling,https://media.thomson.co.uk/asset/lpp/v00/893/110.jpg
996346,3,,https://media.thomson.co.uk/asset/lpp/v01/018/351.jpg
996346,4,,https://media.thomson.co.uk/asset/lpp/v01/018/365.jpg
982144,1,Segway,https://media.thomson.co.uk/asset/lpp/v01/018/347.jpg
982144,2,Runaway Beach,https://media.thomson.co.uk/asset/lpp/v01/018/391.jpg
982144,3,Runaway Beach,https://media.thomson.co.uk/asset/lpp/v00/984/060.jpg
982145,1,Turners Beach,https://media.thomson.co.uk/asset/lpp/v00/984/110.jpg
982145,2,,https://media.thomson.co.uk/asset/lpp/v01/018/393.jpg
982145,3,Turners beach,https://media.thomson.co.uk/asset/lpp/v01/018/379.jpg
982145,4,,https://media.thomson.co.uk/asset/lpp/v01/018/395.jpg
982145,5,Turners beach,https://media.thomson.co.uk/asset/lpp/v01/018/377.jpg
982146,1,Golf - image shown for illustrative purposes only,https://media.thomson.co.uk/asset/lpp/v00/941/666.jpg
974642,1,Shirley Heights Antigua,https://media.thomson.co.uk/asset/lpp/v01/366/086.jpg
974642,2,Nelson&#8217;s Dockyard Antigua,https://media.thomson.co.uk/asset/lpp/v01/366/088.jpg
974642,3,Fort at Nelson&#8217;s Dockyard Antigua,https://media.thomson.co.uk/asset/lpp/v01/366/082.jpg
974686,1,Cades Reef Antigua,https://media.thomson.co.uk/asset/lpp/v01/369/908.jpg
974686,2,,https://media.thomson.co.uk/asset/lpp/v00/795/845.jpg
974687,1,Nelsons Dockyard Antigua,https://media.thomson.co.uk/asset/lpp/v01/366/088.jpg
974687,2,Nelsons Dockyard Antigua,https://media.thomson.co.uk/asset/lpp/v01/366/082.jpg
974718,1,Fort James Antigua,https://media.thomson.co.uk/asset/lpp/v01/372/312.jpg
974718,2,Fort James Antigua,https://media.thomson.co.uk/asset/lpp/v01/372/306.jpg
974718,3,Dickenson Bay Beach,https://media.thomson.co.uk/asset/lpp/v01/372/310.jpg
974718,4,Pier at Dickenson Bay,https://media.thomson.co.uk/asset/lpp/v01/372/308.jpg
994878,1,Revolution Square Havana Cuba,https://media.thomson.co.uk/asset/lpp/v00/874/182.jpg
994878,2,,https://media.thomson.co.uk/asset/lpp/v01/091/243.jpg
994878,3,,https://media.thomson.co.uk/asset/lpp/v01/091/245.jpg
994879,1,,https://media.thomson.co.uk/asset/lpp/v01/091/247.jpg
994880,1,,https://media.thomson.co.uk/asset/lpp/v00/343/069.jpg
994881,1,,https://media.thomson.co.uk/asset/lpp/v00/343/137.jpg
994882,1,,https://media.thomson.co.uk/asset/lpp/v00/908/187.jpg
994882,2,,https://media.thomson.co.uk/asset/lpp/v01/091/253.jpg
994882,3,,https://media.thomson.co.uk/asset/lpp/v01/091/263.jpg
994882,4,,https://media.thomson.co.uk/asset/lpp/v00/920/504.jpg
994882,5,,https://media.thomson.co.uk/asset/lpp/v01/091/257.jpg
994882,6,,https://media.thomson.co.uk/asset/lpp/v01/091/269.jpg
994883,1,,https://media.thomson.co.uk/asset/lpp/v00/823/361.jpg
994883,2,,https://media.thomson.co.uk/asset/lpp/v00/823/363.jpg
994884,1,Unesco Biosphere Reserve Cuba,https://media.thomson.co.uk/asset/lpp/v01/026/594.jpg
994884,2,,https://media.thomson.co.uk/asset/lpp/v01/091/255.jpg
994884,3,,https://media.thomson.co.uk/asset/lpp/v00/366/781.jpg
994884,4,,https://media.thomson.co.uk/asset/lpp/v01/091/259.jpg
994884,5,,https://media.thomson.co.uk/asset/lpp/v01/091/251.jpg
994884,6,,https://media.thomson.co.uk/asset/lpp/v01/091/249.jpg
994885,1,Cuban crocodile,https://media.thomson.co.uk/asset/lpp/v01/026/598.jpg
994885,2,Zapata swamp Cuba,https://media.thomson.co.uk/asset/lpp/v01/026/596.jpg
994885,3,Zapata swamp Cuba,https://media.thomson.co.uk/asset/lpp/v01/091/239.jpg
994885,4,Zapata swamp Cuba,https://media.thomson.co.uk/asset/lpp/v01/091/235.jpg
994885,5,Zapata swamp Cuba,https://media.thomson.co.uk/asset/lpp/v01/091/241.jpg
995116,1,,https://media.thomson.co.uk/asset/lpp/v01/091/237.jpg
995116,2,Fortress of El Morro Havana Cuba,https://media.thomson.co.uk/asset/lpp/v01/088/459.jpg
995116,3,El Prado Havana Cuba,https://media.thomson.co.uk/asset/lpp/v01/088/461.jpg
995116,4,Havana Cuba,https://media.thomson.co.uk/asset/lpp/v00/920/492.jpg
995116,5,,https://media.thomson.co.uk/asset/lpp/v01/079/848.jpg
995117,1,,https://media.thomson.co.uk/asset/lpp/v01/091/213.jpg
995117,2,,https://media.thomson.co.uk/asset/lpp/v01/091/285.jpg
987311,1,,https://media.thomson.co.uk/asset/lpp/v00/920/500.jpg
987311,2,Image shown for illustrative purposes only,https://media.thomson.co.uk/asset/lpp/v00/996/758.jpg
987311,3,Baroque Theatre,https://media.thomson.co.uk/asset/lpp/v00/938/830.jpg
987311,4,,https://media.thomson.co.uk/asset/lpp/v00/737/031.jpg
974493,1,,https://media.thomson.co.uk/asset/lpp/v01/265/342.jpg
974493,2,,https://media.thomson.co.uk/asset/lpp/v01/270/682.jpg
974493,3,,https://media.thomson.co.uk/asset/lpp/v00/920/470.jpg
974519,1,,https://media.thomson.co.uk/asset/lpp/v01/259/939.jpg
974519,2,,https://media.thomson.co.uk/asset/lpp/v01/184/128.jpg
974519,3,,https://media.thomson.co.uk/asset/lpp/v00/938/830.jpg
974536,1,,https://media.thomson.co.uk/asset/lpp/v01/184/128.jpg
974536,2,,https://media.thomson.co.uk/asset/lpp/v00/938/830.jpg
974536,3,,https://media.thomson.co.uk/asset/lpp/v01/259/983.jpg
994444,1,Vlacherena Convent Corfu Town,https://media.thomson.co.uk/asset/lpp/v00/810/415.jpg
996275,1,,https://media.thomson.co.uk/asset/lpp/v00/996/412.jpg
996275,2,,https://media.thomson.co.uk/asset/lpp/v00/996/416.jpg
996275,3,,https://media.thomson.co.uk/asset/lpp/v00/996/418.jpg
991835,1,,https://media.thomson.co.uk/asset/lpp/v00/810/329.jpg
991835,2,,https://media.thomson.co.uk/asset/lpp/v00/810/335.jpg
991835,3,,https://media.thomson.co.uk/asset/lpp/v00/810/321.jpg
991835,4,,https://media.thomson.co.uk/asset/lpp/v00/810/341.jpg
991835,5,,https://media.thomson.co.uk/asset/lpp/v00/810/349.jpg
991835,6,,https://media.thomson.co.uk/asset/lpp/v00/810/363.jpg
991835,7,,https://media.thomson.co.uk/asset/lpp/v00/810/365.jpg
991835,8,,https://media.thomson.co.uk/asset/lpp/v00/810/337.jpg
991835,9,,https://media.thomson.co.uk/asset/lpp/v00/810/327.jpg
991835,10,,https://media.thomson.co.uk/asset/lpp/v00/810/355.jpg
991835,11,,https://media.thomson.co.uk/asset/lpp/v00/810/345.jpg
991835,12,,https://media.thomson.co.uk/asset/lpp/v00/810/347.jpg
991835,13,Aqua park,https://media.thomson.co.uk/asset/lpp/v00/734/004.jpg
991835,14,,https://media.thomson.co.uk/asset/lpp/v00/810/333.jpg
